ISO2;country_name;Speech_title;URL_text;URL_link;Date_m;speech_stance
CZ;Czech Republic;Mojmír Hampl: A digital currency useful for central banks?;https://www.bis.org/review/r180308a.htm;https://www.bis.org/review/r180308a.htm;01/03/2018;-1
EA;Euro Area;Benoît Cœuré and Jacqueline Loh: Bitcoin not the answer to a cashless society;https://www.bis.org/review/r180313a.htm;https://www.bis.org/review/r180313a.htm;01/03/2018;0
GB;United Kingdom;Mark Carney: The future of money;https://www.bis.org/review/r180323a.htm;https://www.bis.org/review/r180323a.htm;01/03/2018;-1
MY;Malaysia;Jessica Chew Cheng Lian: Digital developments in Malaysia's financial sector and the broader economy;https://www.bis.org/review/r180406a.htm;https://www.bis.org/review/r180406a.htm;01/04/2018;0
JP;Japan;Masayoshi Amamiya: Central banking in the digital age;https://www.bis.org/review/r180424e.htm;https://www.bis.org/review/r180424e.htm;01/04/2018;-1
US;United States;Lael Brainard: Cryptocurrencies, digital currencies, and distributed ledger technologies - what are we learning?;https://www.bis.org/review/r180516d.htm;https://www.bis.org/review/r180516d.htm;01/05/2018;-1
EA;Euro Area;Yves Mersch: Virtual currencies ante portas;https://www.bis.org/review/r180517f.htm;https://www.bis.org/review/r180517f.htm;01/05/2018;-1
EA;Euro Area;Benoît Cœuré: The future of central bank money;https://www.bis.org/review/r180518a.htm;https://www.bis.org/review/r180518a.htm;01/05/2018;0
DE;Germany;Jens Weidmann: Dinner speech;https://www.bis.org/review/r180529c.htm;https://www.bis.org/review/r180529c.htm;01/05/2018;0
TH;Thailand;Veerathai Santiprabhob:  Thai economy - the current state and the way forward;https://www.bis.org/review/r180606g.htm;https://www.bis.org/review/r180606g.htm;01/06/2018;-1
JP;Japan;Haruhiko Kuroda: Central banking in a changing world;https://www.bis.org/review/r180605f.htm;https://www.bis.org/review/r180605f.htm;01/06/2018;0
LT;Lithuania;Vitas Vasiliauskas: Opening speech - China Financial Summit;https://www.bis.org/review/r180606a.htm;https://www.bis.org/review/r180606a.htm;01/06/2018;0
IT;Italy;Fabio Panetta: 21st century cash - central banking, technological innovation and digital currencies;https://www.bis.org/review/r180607c.htm;https://www.bis.org/review/r180607c.htm;01/06/2018;0
GR;Greece;Yannis Stournaras: The future of money;https://www.bis.org/review/r180627a.htm;https://www.bis.org/review/r180627a.htm;01/06/2018;0
NZ;New Zealand;Geoff Bascand: In search of gold - exploring central bank digital currency;https://www.bis.org/review/r180716c.htm;https://www.bis.org/review/r180716c.htm;01/07/2018;0
SG;Singapore;Jacqueline Loh: E-payments in Asia - regulating innovation and innovative regulation;https://www.bis.org/review/r180727f.htm;https://www.bis.org/review/r180727f.htm;01/07/2018;1
NZ;New Zealand;Adrian Orr: Geopolitics, New Zealand and the winds of change;https://www.bis.org/review/r180910f.htm;https://www.bis.org/review/r180910f.htm;01/09/2018;0
TH;Thailand;Veerathai Santiprabhob: Digital technologies, financial system and central bank policy;https://www.bis.org/review/r180920a.htm;https://www.bis.org/review/r180920a.htm;01/09/2018;0
CA;Canada;"Timothy Lane: Decrypting ""Crypto""";https://www.bis.org/review/r181002b.htm;https://www.bis.org/review/r181002b.htm;01/10/2018;0
TH;Thailand;Veerathai Santiprabhob: Global risks and Thailand's economic outlook;https://www.bis.org/review/r181002a.htm;https://www.bis.org/review/r181002a.htm;01/10/2018;1
HK;Hong Kong SAR;Norman Chan: Crypto-assets and money;https://www.bis.org/review/r181004d.htm;https://www.bis.org/review/r181004d.htm;01/10/2018;0
HK;Hong Kong SAR;Norman Chan: Crypto-assets and money;https://www.bis.org/review/r181004d.htm;https://www.bis.org/review/r181004d.htm;01/10/2018;1
BE;Belgium;Jan Smets: The future of central banking;https://www.bis.org/review/r181009i.htm;https://www.bis.org/review/r181009i.htm;01/10/2018;0
CBCS;Curaçao and Sint Maarten;Leila Matroos-Lasten: Central banks should emerge as innovation leaders;https://www.bis.org/review/r181012h.htm;https://www.bis.org/review/r181012h.htm;01/10/2018;1
JP;Japan;Masayoshi Amamiya: The future of money;https://www.bis.org/review/r181030c.htm;https://www.bis.org/review/r181030c.htm;01/10/2018;-1
NO;Norway;Jon Nicolaisen: Challenges for the payment system;https://www.bis.org/review/r181106a.htm;https://www.bis.org/review/r181106a.htm;01/11/2018;0
SE;Sweden;Stefan Ingves: The e-krona and the payments of the future;https://www.bis.org/review/r181115c.htm;https://www.bis.org/review/r181115c.htm;01/11/2018;1
